2025-09-09 15:32:11,026 - INFO - 开始训练 MADDPG...
2025-09-09 15:32:11,026 - INFO - 日志目录: log/train_2025-09-09-15-32
2025-09-09 15:32:11,027 - INFO - 配置文件已保存到: log/train_2025-09-09-15-32/config.json
2025-09-09 15:32:11,027 - INFO - 配置参数: {'map': {'kMaxX': 5.0, 'kMaxY': 5.0, 'kMinX': -5.0, 'kMinY': -5.0, 'kMaxObsR': 1.0, 'kMinObsR': 0.3, 'kNumAgents': 2, 'kNumGoals': 5, 'kNumObstacles': 3, 'kTimeStep': 0.1}, 'agent': {'kAgentRadius': 0.2, 'kMaxSpeed': 1.0, 'kMaxAngularSpeed': 1.0, 'kNumRadars': 32, 'kMaxRadarDist': 3.0}, 'goal': {'kGoalThreshold': 0.3}, 'reward': {'kTimeReward': -0.1, 'kCollisionReward': -100.0, 'kGoalReward': 100.0, 'kDistanceReward': 0.1, 'kAgentSeparationReward': 0.1, 'kMinAgentDistance': 1.0, 'kMinGoalDistance': 0.1}, 'training': {'max_episodes': 1000, 'max_steps_per_episode': 500, 'buffer_size': 100000, 'batch_size': 256, 'learning_rate': 2e-05, 'lr_decay': 0.99, 'min_learning_rate': 5e-06, 'gamma': 0.95, 'tau': 0.01, 'noise_std': 0.1, 'noise_decay': 0.995, 'min_noise_std': 0.01, 'smart_noise_control': True, 'save_interval': 500, 'log_interval': 10, 'device': 'cuda'}}
2025-09-09 15:32:11,058 - INFO - 使用设备: cuda
2025-09-09 15:32:11,065 - INFO - 环境创建成功 - Agent数量: 2, 目标数量: 5, 障碍物数量: 3
2025-09-09 15:32:11,066 - INFO - 状态维度 - Agent状态: 3, 观测维度: 32, 动作维度: 2
2025-09-09 15:32:11,066 - INFO - 全局状态维度: 30, 最大动作: [1. 1.]
2025-09-09 15:32:12,348 - INFO - 智能体团队创建成功
2025-09-09 15:32:12,348 - INFO - 经验回放缓冲区创建成功
2025-09-09 15:32:12,348 - INFO - 保存初始环境状态图...
2025-09-09 15:32:12,890 - INFO - 初始环境状态图已保存到: images/initial_environment_state.png
2025-09-09 15:32:12,891 - INFO - 开始训练循环...
2025-09-09 15:32:19,812 - INFO - Episode 10/1000 - 平均奖励: -99.885, 平均步数: 55.1, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000020, 噪声标准差: 0.0951, 用时: 0.23s
2025-09-09 15:32:21,801 - INFO - Episode 20/1000 - 平均奖励: -100.321, 平均步数: 11.6, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000020, 噪声标准差: 0.0905, 用时: 0.14s
2025-09-09 15:32:23,309 - INFO - Episode 30/1000 - 平均奖励: -100.278, 平均步数: 8.3, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000020, 噪声标准差: 0.0860, 用时: 0.14s
2025-09-09 15:32:24,742 - INFO - Episode 40/1000 - 平均奖励: -100.277, 平均步数: 8.3, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0818, 用时: 0.14s
2025-09-09 15:32:26,861 - INFO - Episode 50/1000 - 平均奖励: -100.102, 平均步数: 12.8, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0778, 用时: 0.25s
2025-09-09 15:32:29,446 - INFO - Episode 60/1000 - 平均奖励: -99.933, 平均步数: 16.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0740, 用时: 0.27s
2025-09-09 15:32:32,526 - INFO - Episode 70/1000 - 平均奖励: -99.891, 平均步数: 17.5, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0704, 用时: 0.60s
2025-09-09 15:32:37,430 - INFO - Episode 80/1000 - 平均奖励: -99.716, 平均步数: 29.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000019, 噪声标准差: 0.0670, 用时: 0.48s
2025-09-09 15:32:42,450 - INFO - Episode 90/1000 - 平均奖励: -99.713, 平均步数: 29.1, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0637, 用时: 0.52s
2025-09-09 15:32:47,498 - INFO - Episode 100/1000 - 平均奖励: -99.707, 平均步数: 29.4, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0606, 用时: 0.47s
2025-09-09 15:32:52,158 - INFO - Episode 110/1000 - 平均奖励: -99.715, 平均步数: 28.9, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0576, 用时: 0.48s
2025-09-09 15:32:57,058 - INFO - Episode 120/1000 - 平均奖励: -99.721, 平均步数: 28.7, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0548, 用时: 0.48s
2025-09-09 15:33:01,913 - INFO - Episode 130/1000 - 平均奖励: -99.720, 平均步数: 28.8, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0521, 用时: 0.48s
2025-09-09 15:33:06,861 - INFO - Episode 140/1000 - 平均奖励: -99.715, 平均步数: 29.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000018, 噪声标准差: 0.0496, 用时: 0.55s
2025-09-09 15:33:11,579 - INFO - Episode 150/1000 - 平均奖励: -99.718, 平均步数: 29.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0471, 用时: 0.49s
