2025-09-09 16:21:24,947 - INFO - Episode 190/1000 - 平均奖励: -100.160, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0386, 平均用时: 0.14s
2025-09-09 16:21:26,310 - INFO - Episode 200/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000017, 噪声标准差: 0.0367, 平均用时: 0.14s
2025-09-09 16:21:27,670 - INFO - Episode 210/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0349, 平均用时: 0.14s
2025-09-09 16:21:29,036 - INFO - Episode 220/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0332, 平均用时: 0.14s
2025-09-09 16:21:30,393 - INFO - Episode 230/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0316, 平均用时: 0.14s
2025-09-09 16:21:31,739 - INFO - Episode 240/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0300, 平均用时: 0.13s
2025-09-09 16:21:33,084 - INFO - Episode 250/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0286, 平均用时: 0.13s
2025-09-09 16:21:34,435 - INFO - Episode 260/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000016, 噪声标准差: 0.0272, 平均用时: 0.14s
2025-09-09 16:21:35,800 - INFO - Episode 270/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000015, 噪声标准差: 0.0258, 平均用时: 0.14s
2025-09-09 16:21:37,224 - INFO - Episode 280/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000015, 噪声标准差: 0.0246, 平均用时: 0.14s
2025-09-09 16:21:38,726 - INFO - Episode 290/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000015, 噪声标准差: 0.0234, 平均用时: 0.15s
2025-09-09 16:21:40,263 - INFO - Episode 300/1000 - 平均奖励: -100.159, 平均步数: 8.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000015, 噪声标准差: 0.0222, 平均用时: 0.15s
