2025-09-09 16:28:28,475 - INFO - Episode 190/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000835, 噪声标准差: 0.0386, 平均用时: 0.19s
2025-09-09 16:28:30,342 - INFO - Episode 200/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000826, 噪声标准差: 0.0367, 平均用时: 0.19s
2025-09-09 16:28:32,190 - INFO - Episode 210/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000818, 噪声标准差: 0.0349, 平均用时: 0.18s
2025-09-09 16:28:34,029 - INFO - Episode 220/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000810, 噪声标准差: 0.0332, 平均用时: 0.18s
2025-09-09 16:28:35,872 - INFO - Episode 230/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000802, 噪声标准差: 0.0316, 平均用时: 0.18s
2025-09-09 16:28:37,710 - INFO - Episode 240/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000794, 噪声标准差: 0.0300, 平均用时: 0.18s
2025-09-09 16:28:39,538 - INFO - Episode 250/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000786, 噪声标准差: 0.0286, 平均用时: 0.18s
2025-09-09 16:28:41,383 - INFO - Episode 260/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000778, 噪声标准差: 0.0272, 平均用时: 0.18s
2025-09-09 16:28:43,226 - INFO - Episode 270/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000770, 噪声标准差: 0.0258, 平均用时: 0.18s
2025-09-09 16:28:45,098 - INFO - Episode 280/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000762, 噪声标准差: 0.0246, 平均用时: 0.19s
2025-09-09 16:28:46,945 - INFO - Episode 290/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000755, 噪声标准差: 0.0234, 平均用时: 0.18s
2025-09-09 16:28:48,798 - INFO - Episode 300/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000747, 噪声标准差: 0.0222, 平均用时: 0.19s
2025-09-09 16:28:50,657 - INFO - Episode 310/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000740, 噪声标准差: 0.0211, 平均用时: 0.19s
2025-09-09 16:28:52,507 - INFO - Episode 320/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000732, 噪声标准差: 0.0201, 平均用时: 0.19s
2025-09-09 16:28:54,383 - INFO - Episode 330/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000725, 噪声标准差: 0.0191, 平均用时: 0.19s
2025-09-09 16:28:56,266 - INFO - Episode 340/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000718, 噪声标准差: 0.0182, 平均用时: 0.19s
2025-09-09 16:28:58,202 - INFO - Episode 350/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000711, 噪声标准差: 0.0173, 平均用时: 0.19s
2025-09-09 16:29:00,089 - INFO - Episode 360/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000703, 噪声标准差: 0.0165, 平均用时: 0.19s
2025-09-09 16:29:02,189 - INFO - Episode 370/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000696, 噪声标准差: 0.0157, 平均用时: 0.21s
2025-09-09 16:29:04,302 - INFO - Episode 380/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000689, 噪声标准差: 0.0149, 平均用时: 0.21s
2025-09-09 16:29:06,406 - INFO - Episode 390/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000683, 噪声标准差: 0.0142, 平均用时: 0.21s
2025-09-09 16:29:08,469 - INFO - Episode 400/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.000676, 噪声标准差: 0.0135, 平均用时: 0.21s
